Account,Age,Gender,Name,Tel
230010000,54,F,Márton Dániel,3680566636
230010001,19,N,Máté Bianka,3680431697
230010002,24,F,Dudás Bálint,3680855350
230010003,56,F,Major Kende,3680333665
230010004,26,F,Szalai Patrik,3680558326
230010005,76,F,Székely Sándor,3680356850
230010006,74,F,Bognár Tamás,3680764467
230010007,61,F,Hegedüs Róbert,3680869441
230010008,38,F,Csonka Sándor,3680493341
230010009,69,F,Fodor Noel,3680443849
230010010,28,F,Sándor Noel,3680301392
230010011,56,N,Gál Hanna,3680617932
230010012,53,F,Orsós Ákos,3680175587
230010013,44,F,Balog Alex,3680860379
230010014,65,F,Pataki Soma,3680371773
230010015,24,N,Fazekas Kincső,3680235824
230010016,67,F,Somogyi Mihály,3680474487
230010017,49,F,Molnár Gergő,3680644071
230010018,68,N,Nemes Zoé,3680285518
230010019,28,F,Horváth Noel,3680806331
230010020,43,F,Horváth Zalán,3680646843
230010021,35,N,Bognár Dorka,3680426600
230010022,56,F,Bodnár Gyula,3680525658
230010023,24,F,Sipos Gyula,3680650566
230010024,43,F,Jakab Attila,3680313105
230010025,42,F,Váradi Milán,3680122421
230010026,49,N,Váradi Lilien,3680413571
230010027,32,F,Mészáros László,3680323462
230010028,43,F,Halász Kende,3680220389
230010029,36,F,Lakatos Alex,3680191392
230010030,72,F,Orosz Olivér,3680415862
230010031,65,F,Kozma Roland,3680421261
230010032,42,F,Halász Mátyás,3680336097
230010033,67,N,Boros Lilien,3680526831
230010034,57,F,Szabó Bence,3680411712
230010035,50,F,Székely Erik,3680270865
230010036,24,F,Illés Tibor,3680478585
230010037,29,F,Mészáros Botond,3680826465
230010038,55,F,Tamás Áron,3680206208
230010039,37,N,Bogdán Zoé,3680854138
230010040,35,N,Soós Panna,3680314723
230010041,70,N,Virág Adrienn,3680658996
230010042,50,N,Balogh Veronika,3680114921
230010043,44,F,Takács Imre,3680454781
230010044,29,F,Bognár Csanád,3680660131
230010045,68,N,Faragó Adél,3680109005
230010046,29,N,Kis Lilien,3680732174
230010047,42,F,Orsós Zsolt,3680750995
230010048,58,F,Szabó Martin,3680524411
230010049,24,F,Lengyel Zsombor,3680176620
230010050,52,N,Török Jázmin,3680569553
230010051,55,F,Máté Gábor,3680617479
230010052,55,F,Székely Marcell,3680657520
230010053,20,N,Magyar Janka,3680408567
230010054,67,F,Oláh Kende,3680502811
230010055,47,N,Fábián Fruzsina,3680616707
230010056,59,N,Bogdán Emese,3680855932
230010057,19,N,Gál Leila,3680304009
230010058,33,F,Orbán Dominik,3680862895
230010059,26,F,Székely Mihály,3680537788
230010060,61,F,Balog Levente,3680248112
230010061,50,F,Balog Tibor,3680746173
230010062,29,F,Halász Alex,3680394671
230010063,47,N,Kiss Luca,3680173487
230010064,76,F,Király Kevin,3680476878
230010065,44,F,Illés Botond,3680875086
230010066,20,F,Takács Bence,3680593243
230010067,68,F,Fekete Soma,3680811577
230010068,39,F,Illés Bence,3680345213
230010069,74,N,Juhász Dorka,3680541521
230010070,71,F,Sándor Csaba,3680184577
230010071,26,F,Soós Attila,3680356323
230010072,64,F,Simon Róbert,3680798351
230010073,55,F,Mészáros Áron,3680664467
230010074,18,F,Balázs Nándor,3680581474
230010075,35,F,Major Dominik,3680567635
230010076,62,N,Orsós Vanessza,3680417891
230010077,19,F,Gulyás Richárd,3680618095
230010078,25,N,Bogdán Flóra,3680697027
230010079,72,N,Pataki Bianka,3680533852
230010080,68,F,Balogh Nándor,3680383249
230010081,59,F,Balla László,3680816766
230010082,33,N,Németh Liza,3680832056
230010083,46,F,Szalai Zoltán,3680150403
230010084,46,F,Farkas Mihály,3680190343
230010085,70,F,Orosz Gyula,3680368836
230010086,35,F,Kerekes Erik,3680156593
230010087,29,F,Szekeres Norbert,3680503130
230010088,41,F,Hegedüs Balázs,3680873909
230010089,66,F,Sipos Máté,3680222440
230010090,19,F,Kozma László,3680430732
230010091,74,N,Székely Melissza,3680740482
230010092,44,F,Bodnár Zalán,3680408191
230010093,71,F,Szőke Marcell,3680867875
230010094,27,N,Orsós Jázmin,3680620291
230010095,37,N,Bogdán Petra,3680530661
230010096,52,N,Kozma Réka,3680379453
230010097,69,F,Nagy Soma,3680199175
230010098,18,F,Szőke Bence,3680763189
230010099,33,F,Sándor Milán,3680736710
230010100,67,F,Péter Gyula,3680118098
230010101,61,F,Horváth Miklós,3680770425
230010102,36,F,Szücs Tamás,3680217683
230010103,74,F,Horváth Milán,3680300140
230010104,37,N,Pintér Abigél,3680524290
230010105,56,F,Kovács Roland,3680226619
230010106,71,N,Somogyi Vanessza,3680829510
230010107,57,F,Hegedűs Ákos,3680595108
230010108,21,F,Sipos Csanád,3680271658
230010109,49,F,Sipos Levente,3680447695
230010110,70,F,Novák György,3680351503
230010111,41,F,Kelemen Dániel,3680150516
230010112,64,F,Rácz Hunor,3680508942
230010113,32,N,Somogyi Kitti,3680785672
230010114,60,F,Gál Viktor,3680529104
230010115,34,N,Deák Borbála,3680517176
230010116,19,F,Kocsis Gergely,3680213444
230010117,43,F,Jónás Erik,3680542633
230010118,36,N,Halász Kata,3680803887
230010119,51,F,Barna Balázs,3680583634
230010120,39,F,Szabó Csongor,3680627434
230010121,24,F,Hajdu Máté,3680526581
230010122,20,N,Fekete Melissza,3680380684
230010123,22,F,Barna Erik,3680798019
230010124,63,F,Szűcs Richárd,3680516896
230010125,24,N,Veres Dorka,3680399784
230010126,75,F,Halász Benedek,3680409182
230010127,24,F,Szekeres Benett,3680749324
