Account,Age,AvgMonthlySpending,BalanceAmount,CandidateTargetCreditIncrease,CreditLimit,CreditScore,CrmSegment,FamilyMembers,Gender,IncomeCategory,Name,NrOfCredCards,NrOfDebCards,PreviousDaySpending,ShortTermCredit,Tel,TransactionTrend
230010001,19,609944,715511,0,1060000,XS,Young,1,N,L,Barna Bianka,0,3,300168,Y,3680431697,Inact
230010002,76,472122,551666,0,1030000,NO,Young,3,N,M,Borbély Vanessza,0,3,213125,Y,3680356850,Inact
230010003,67,345371,585166,0,1130000,XS,TransCredit,2,F,XS,Virág Norbert,0,3,271966,Y,3680280284,DecDec
230010004,44,904639,641279,0,230000,NO,Young,1,F,XL,Balog Alex,0,2,80912,N,3680860379,Stab
230010005,24,778895,386664,0,300000,XS,TransCredit,4,F,XL,Szőke György,1,1,229202,Y,3680812774,Dec
230010006,35,943342,665284,0,770000,NO,Young,3,N,XXL,Bognár Dorka,1,3,64971,N,3680426600,Stab
230010007,59,345075,444739,0,650000,NO,CreditAct,1,F,M,Faragó Alex,1,3,271131,N,3680832141,DecDec
230010008,25,404833,755523,0,390000,NO,CreditAct,3,F,L,Halász Erik,0,2,170931,N,3680531915,Dec
230010009,32,622738,714893,0,880000,XS,NoTrans,4,F,XS,Veres Ferenc,1,1,168856,N,3680277058,IncInc
230010010,24,618684,648493,0,960000,XS,Young,1,F,XXL,Mezei Tibor,0,3,86572,Y,3680478585,DecDec
230010011,35,154193,217016,0,750000,XS,TransCredit,5,N,XS,Soós Panna,0,2,20460,N,3680314723,DecDec
230010012,52,120756,584008,0,330000,S,Pension,1,F,S,Szőke Marcell,1,2,131135,N,3680177732,DecDec
230010013,56,412604,452714,0,120000,S,CreditAct,1,F,S,Hegedüs Viktor,1,3,299659,Y,3680647954,DecDec
230010014,55,350750,714040,0,260000,S,CreditAct,3,F,M,Bogdán Marcell,0,3,301124,N,3680657520,Dec
230010015,40,808458,678322,0,1180000,NO,CreditAct,4,F,S,Németh Gergely,1,2,312511,Y,3680787099,Dec
230010016,19,267641,547366,0,800000,S,TransCredit,4,N,XL,Barta Kata,1,2,208346,N,3680813835,IncInc
230010017,48,974543,413082,0,700000,XS,NoTrans,4,N,L,Bálint Dóra,0,3,63025,N,3680410582,Dec
230010018,18,60439,736833,0,1130000,XS,TransCredit,1,N,L,Gáspár Leila,1,2,191951,Y,3680449008,DecDec
230010019,64,887866,607414,0,820000,NO,CreditAct,5,F,XXL,Simon Róbert,0,1,249626,Y,3680798351,IncInc
230010020,62,496892,256410,0,510000,S,NoTrans,3,N,L,Orsós Vanessza,0,1,126373,N,3680417891,Dec
230010021,68,612445,617494,0,990000,NO,Pension,2,N,L,Balogh Adrienn,0,1,200359,Y,3680383249,Dec
230010022,23,881172,375329,0,1070000,NO,Young,3,N,XXL,Deák Adrienn,1,3,220085,N,3680583933,Inact
230010023,41,72011,554738,0,280000,XS,Young,1,F,XL,Hegedüs Balázs,1,3,28548,N,3680873909,Dec
230010024,48,239326,267320,0,730000,S,Pension,1,F,XS,Vincze Csaba,1,1,117026,Y,3680610930,DecDec
230010025,52,148397,714311,0,100000,XS,NoTrans,5,F,M,Kozma Péter,1,2,18342,Y,3680379453,Dec
