Account,Age,AvgMonthlySpending,BalanceAmount,CandidateTargetCreditIncrease,CreditLimit,CreditScore,CrmSegment,FamilyMembers,Gender,IncomeCategory,Name,NrOfCredCards,NrOfDebCards,PreviousDaySpending,ShortTermCredit,Tel,TransactionTrend
230010401,21,234228,653818,0,630000,XS,Young,3,N,XS,Gáspár Izabella,0,1,296570,Y,3680806047,IncInc
230010402,72,218150,217381,0,460000,S,CreditAct,2,F,L,Simon Ákos,0,2,240587,Y,3680667743,Dec
230010403,21,131318,436271,0,320000,NO,Young,1,N,XL,Balázs Dorina,1,2,67709,N,3680795505,Inc
230010404,30,420782,677801,0,1140000,XS,TransCredit,2,N,L,Gulyás Zselyke,1,1,227756,Y,3680711774,DecDec
230010405,46,627609,561598,0,770000,XS,Young,4,N,XXL,Kelemen Jázmin,0,1,230499,Y,3680394772,DecDec
230010406,30,16158,389695,0,680000,S,NoTrans,1,N,XXL,Mészáros Rebeka,0,1,133772,Y,3680402517,Inc
230010407,27,489440,605975,0,640000,NO,NoTrans,1,N,M,Takács Kincső,1,1,314303,Y,3680491175,Stab
230010408,43,529862,426828,0,390000,NO,Young,2,F,XXL,Mészáros Tamás,1,2,128840,N,3680434590,Inact
230010409,40,129814,388767,0,690000,NO,NoTrans,5,N,S,Biró Csenge,0,2,290964,N,3680250831,Inc
230010410,58,872881,570365,0,630000,S,CreditAct,1,F,XL,Barna Olivér,1,3,65921,Y,3680590550,Inc
230010411,72,905700,423611,0,760000,NO,CreditAct,3,N,XS,Dudás Kincső,0,1,47755,Y,3680493475,IncInc
230010412,36,857738,662493,0,130000,S,TransCredit,3,F,XL,Tóth Zalán,1,1,241930,N,3680644833,IncInc
230010413,39,257398,332943,0,520000,S,TransCredit,1,F,S,Bakos László,1,3,277816,N,3680609837,Inc
230010414,20,561705,654803,0,610000,NO,TransCredit,4,N,XL,Jónás Jázmin,1,3,276581,Y,3680531901,Inc
230010415,69,327736,427713,0,1080000,NO,Pension,1,F,S,Orosz Mátyás,0,1,310290,Y,3680702234,Dec
230010416,34,701447,453098,0,1190000,XS,NoTrans,1,N,XS,Oláh Kitti,0,2,244038,Y,3680144543,Inc
230010417,52,654069,434943,0,700000,S,TransCredit,4,N,XL,Orsós Anna,0,1,79274,N,3680762290,DecDec
230010418,56,808908,600793,0,440000,XS,Pension,3,F,XS,Németh Ármin,0,2,75548,Y,3680438426,Dec
230010419,30,393296,314209,0,350000,XS,TransCredit,2,F,XL,Rácz Máté,0,3,128165,Y,3680787660,Stab
230010420,76,970493,731412,0,350000,NO,Young,1,F,XS,Kocsis Máté,1,3,44833,Y,3680365661,Inact
230010421,38,555234,573323,0,1090000,S,TransCredit,3,F,M,Kozma Máté,1,3,14339,Y,3680472167,DecDec
230010422,57,192042,250815,0,1150000,XS,Pension,5,N,M,Farkas Réka,1,2,128465,N,3680529817,Inact
230010423,51,257204,644389,0,720000,XS,NoTrans,2,N,S,Veres Ramóna,0,1,133411,N,3680841461,DecDec
230010424,30,894431,501138,0,810000,XS,CreditAct,2,F,XXL,Balogh Dominik,0,2,84372,Y,3680835975,Inc
230010425,42,287009,494313,0,660000,XS,Pension,1,N,XL,Nagy Tamara,1,1,189157,Y,3680291300,Stab
230010426,74,503367,709476,0,1170000,S,Pension,1,F,L,Nemes Nándor,1,2,26236,Y,3680116657,Dec
230010427,24,643935,677391,0,870000,S,TransCredit,1,F,XL,Orbán Máté,0,3,130742,N,3680755028,IncInc
230010428,76,174316,357621,0,590000,XS,TransCredit,4,F,XXL,Pap Ármin,0,2,195185,N,3680121788,DecDec
230010429,49,990422,633093,0,360000,S,TransCredit,4,F,L,Fekete Csaba,0,3,20599,Y,3680378281,Inact
230010430,60,534208,708816,0,1130000,NO,Pension,3,F,S,Gáspár Martin,0,1,226664,N,3680294108,Dec
230010431,63,99653,580485,0,640000,S,CreditAct,3,N,S,Balázs Kira,1,2,66785,Y,3680243980,IncInc
230010432,56,547248,537440,0,520000,XS,TransCredit,4,F,XL,Pásztor Roland,1,2,125520,Y,3680336444,IncInc
230010433,59,81536,577496,0,950000,XS,TransCredit,1,F,XL,Borbély Ferenc,0,2,118620,Y,3680294546,Dec
230010434,32,444861,647667,0,300000,XS,Pension,5,F,XS,Máté Gergő,1,3,157039,N,3680432109,IncInc
230010435,64,550173,595259,0,890000,XS,CreditAct,4,N,M,Máté Janka,1,3,314587,Y,3680886217,Stab
230010436,66,614933,571427,0,690000,S,Young,1,N,M,Király Natália,1,3,137441,N,3680479954,IncInc
230010437,25,62417,161419,0,910000,NO,CreditAct,2,N,XXL,Jakab Emma,0,3,157165,Y,3680303260,DecDec
230010438,61,715767,552838,0,670000,NO,CreditAct,5,N,XL,Fekete Léna,0,3,109854,Y,3680211203,Inc
230010439,54,150464,653247,0,390000,NO,NoTrans,1,N,XS,Lengyel Kincső,0,2,25708,N,3680178820,Stab
230010440,75,483770,551737,0,900000,XS,Pension,2,N,S,Lukács Maja,0,3,309958,Y,3680862924,Dec
230010441,39,53469,481420,0,130000,S,Pension,1,N,S,Soós Blanka,1,2,298659,N,3680773967,Inc
230010442,43,654442,747259,0,520000,S,Young,3,N,XL,Virág Réka,0,3,263706,Y,3680354211,Inc
230010443,60,572915,751612,0,1120000,NO,NoTrans,3,F,XS,Juhász Gergely,0,1,182507,N,3680833629,Stab
230010444,70,646730,641502,0,1190000,NO,TransCredit,1,F,XL,Fekete Ábel,1,1,18338,Y,3680280581,Inc
230010445,41,60858,232247,0,570000,S,Young,3,N,M,Balogh Flóra,0,1,240424,N,3680434474,Inc
230010446,36,19584,198976,0,120000,NO,TransCredit,4,F,XS,Farkas Zétény,0,2,26009,N,3680814166,Inact
230010447,23,967231,710641,0,210000,S,Pension,4,N,XL,Pataki Petra,0,1,33538,N,3680103248,IncInc
230010448,32,602044,627036,0,950000,S,Pension,4,F,XS,Sándor Richárd,0,1,259891,N,3680697786,Stab
230010449,26,1022594,670412,0,830000,XS,NoTrans,5,F,M,Farkas Soma,0,3,260010,N,3680611291,Inact
230010450,29,999139,454969,0,1090000,NO,Pension,2,N,XS,Máté Adrienn,0,1,20426,N,3680595616,IncInc
230010451,49,761556,642178,0,890000,S,Pension,5,F,XL,Jakab Tamás,0,3,192189,Y,3680243871,DecDec
230010452,26,613975,331958,0,570000,NO,CreditAct,4,N,M,Sárközi Izabella,1,3,131690,Y,3680875581,Inact
230010453,58,813684,601519,0,580000,NO,NoTrans,1,N,XL,Jakab Anna,0,2,272607,Y,3680174608,Inc
230010454,35,528580,691185,0,330000,NO,NoTrans,3,N,XL,Hajdu Hanna,0,1,86785,Y,3680832128,Dec
230010455,44,881535,697332,0,1050000,XS,Young,1,N,L,Hajdu Léna,0,1,145393,N,3680654871,IncInc
230010456,57,689980,674594,0,770000,NO,NoTrans,1,F,XXL,Sárközi Nándor,1,1,210001,Y,3680490860,IncInc
230010457,61,806289,725129,0,830000,XS,Pension,1,F,XS,Deák György,0,1,132141,N,3680796016,Dec
230010458,28,465922,587950,0,1090000,NO,NoTrans,3,F,M,Gulyás Ferenc,0,2,195411,Y,3680481746,Inc
230010459,43,316125,610335,0,520000,XS,TransCredit,5,F,L,Pásztor Csanád,1,3,89753,Y,3680877309,Inact
230010460,35,521048,575328,0,230000,S,CreditAct,2,N,XS,Kiss Csenge,0,1,261268,Y,3680377162,Inc
230010461,38,661417,677496,0,520000,XS,NoTrans,5,N,S,Fekete Melissza,0,1,280830,Y,3680167751,Inact
230010462,26,159497,365792,0,670000,NO,NoTrans,4,F,M,Oláh Bálint,0,3,285915,Y,3680188379,IncInc
230010463,62,20903,78296,0,1140000,XS,TransCredit,1,F,M,Boros Tamás,0,3,238256,N,3680609360,Inc
230010464,77,637873,734002,0,840000,NO,Pension,2,N,L,Németh Ramóna,0,2,260183,N,3680756886,Stab
230010465,50,916523,403068,0,420000,S,TransCredit,5,N,M,Boros Zsófia,0,1,122164,Y,3680173810,IncInc
230010466,73,662945,438570,0,1090000,S,NoTrans,2,N,XXL,Pintér Szonja,1,1,108432,N,3680225774,Dec
230010467,19,511813,688439,0,240000,NO,Young,3,N,L,Gulyás Luca,1,1,26159,N,3680695543,IncInc
230010468,76,512293,382053,0,220000,XS,TransCredit,4,N,S,Molnár Jázmin,1,3,293949,N,3680747046,Dec
230010469,53,592920,352775,0,700000,S,TransCredit,5,N,XL,Sándor Veronika,1,1,260211,Y,3680731690,Dec
230010470,44,858128,545582,0,420000,S,NoTrans,4,F,M,Barna Kristóf,0,2,302642,N,3680311967,Inact
230010471,67,947728,585425,0,310000,NO,CreditAct,1,N,XL,Bodnár Kinga,1,1,234768,N,3680162715,IncInc
230010472,54,898343,605660,0,180000,NO,Young,3,F,L,Deák Martin,1,1,254179,Y,3680535612,Stab
230010473,59,735278,752183,0,990000,S,Pension,1,F,XS,Farkas Bence,0,3,28298,N,3680197904,Dec
230010474,65,437302,579826,0,970000,S,NoTrans,3,F,S,Barna Márton,0,2,44120,Y,3680170842,IncInc
230010475,28,34426,515565,0,510000,S,CreditAct,3,F,M,Fodor Vilmos,1,3,216281,Y,3680215246,Inc
