,TransactionTrend,Account,FamilyMembers,Gender,long,Name,AvgMonthlySpending,merchantId,CreditScore,merchantType,Age,lat,amount,BalanceAmount,PreviousDaySpending,accountType,CreditLimit,accountNumber,transactionId,IncomeCategory,name,NrOfDebCards,Tel,CrmSegment,ShortTermCredit,NrOfCredCards,feature_1
1315,Inact,230010996,1,F,19.0488859,Bálint Márton,394455,1082,S,utazás,70,47.49721,69069,731653,254158,MASTERCARD,1120000,2871 7229 4142 6115,5382377001,M,Neckermann Vörö,3,3680472249,Pension,Y,1,0.0
1777,IncInc,230010995,1,F,19.0488859,Borbély Vince,321466,1082,S,utazás,22,47.49721,182861,278104,160518,DINERS,1130000,1102 5539 2372 5628,5382377463,XL,Neckermann Vörö,1,3680429023,Young,Y,1,0.0
1736,Inact,230010842,2,F,19.0488859,Veres János,569665,1082,XS,utazás,75,47.49721,282714,423154,98781,MAESTRO,860000,2305 4242 1587 5041,5382377422,XXL,Neckermann Vörö,3,3680297434,Young,Y,1,0.0
664,Inc,230011103,2,N,19.0488859,Orsós Alíz,299496,1082,M,utazás,20,47.49721,340862,67209,58049,JCB,380000,8988 8878 4206 7564,5382376350,S,Neckermann Vörö,2,3680494786,Pension,Y,2,1.0
214,Inc,230011103,2,N,19.0488859,Orsós Alíz,299496,1082,M,utazás,20,47.49721,64498,67209,58049,DINERS,380000,9547 0538 0000 9320,5382375900,S,Neckermann Vörö,2,3680494786,Pension,Y,2,0.0
2034,Dec,230011073,4,F,19.0488859,Fodor Alex,692076,1082,XL,utazás,64,47.49721,185000,84796,140109,DINERS,810000,3916 0706 6664 4439,5382377720,XXL,Neckermann Vörö,1,3680570312,Young,Y,2,0.0
1042,Dec,230011073,4,F,19.0488859,Fodor Alex,692076,1082,XL,utazás,64,47.49721,320264,84796,140109,VISA,810000,2285 0266 2657 3193,5382376728,XXL,Neckermann Vörö,1,3680570312,Young,Y,2,0.0
1951,Dec,230011056,2,N,19.0488859,Máté Adél,612593,1082,L,utazás,73,47.49721,257549,418,181068,VISA,400000,2137 4929 0549 8050,5382377637,XS,Neckermann Vörö,2,3680380067,NoTrans,Y,2,0.0
405,Dec,230011056,2,N,19.0488859,Máté Adél,612593,1082,L,utazás,73,47.49721,256421,418,181068,VISA,400000,2137 4929 0549 8050,5382376091,XS,Neckermann Vörö,2,3680380067,NoTrans,Y,2,0.0
895,DecDec,230011102,4,F,19.0488859,Orbán Áron,363028,1082,L,utazás,75,47.49721,298925,61287,200640,AMEX,580000,9346 2040 2466 1368,5382376581,L,Neckermann Vörö,2,3680600103,TransCredit,N,3,0.0
1179,IncInc,230010933,2,N,19.0488859,Márton Adrienn,31765,1082,NO,utazás,55,47.49721,328624,246987,83559,MASTERCARD,1000000,5527 9319 3661 6460,5382376865,M,Neckermann Vörö,3,3680226588,Young,N,0,0.0
43,Stab,230010990,5,F,19.0488859,Kiss Bálint,799170,1082,XS,utazás,24,47.49721,224692,651875,83755,MASTERCARD,560000,1579 1451 3460 6894,5382375729,L,Neckermann Vörö,3,3680871635,TransCredit,N,1,0.0
1855,Inact,230010718,1,N,19.0488859,Gulyás Diána,199402,1082,S,utazás,75,47.49721,94527,588005,96655,VISA,390000,5851 3888 6012 0079,5382377541,XS,Neckermann Vörö,3,3680835281,NoTrans,Y,1,0.0
885,Inact,230010950,2,N,19.0488859,Borbély Maja,977628,1082,NO,utazás,70,47.49721,329336,504388,220671,VISA,1050000,0542 4977 8636 4042,5382376571,L,Neckermann Vörö,3,3680111000,NoTrans,N,1,0.0
857,Dec,230010849,5,F,19.0488859,Balázs Róbert,654609,1082,S,utazás,59,47.49721,220331,668266,26583,JCB,280000,7567 8081 2071 2317,5382376543,XXL,Neckermann Vörö,3,3680712062,NoTrans,Y,1,0.0
1674,Inc,230010974,1,N,19.0488859,Bognár Flóra,147205,1082,NO,utazás,32,47.49721,252660,480606,193130,MASTERCARD,440000,3536 2474 5787 0754,5382377360,XL,Neckermann Vörö,2,3680319758,CreditAct,Y,0,0.0
942,Inc,230010948,3,F,19.0488859,Lukács Patrik,352804,1082,XS,utazás,52,47.49721,177993,404388,54013,DINERS,230000,8824 8790 1125 3726,5382376628,XS,Neckermann Vörö,2,3680770337,TransCredit,N,0,0.0
2139,Stab,230011101,5,F,19.0488859,Farkas István,942771,1082,XL,utazás,51,47.49721,322553,271457,208799,MAESTRO,1140000,5597 2555 0392 6973,5382377825,M,Neckermann Vörö,1,3680241681,TransCredit,N,2,0.0
1258,DecDec,230011063,1,N,19.0488859,Papp Blanka,117688,1082,M,utazás,57,47.49721,205826,27300,191579,DINERS,300000,9278 2792 1228 3351,5382376944,XXL,Neckermann Vörö,2,3680503543,TransCredit,N,3,0.0
852,DecDec,230011063,1,N,19.0488859,Papp Blanka,117688,1082,M,utazás,57,47.49721,133715,27300,191579,JCB,300000,9792 5300 0386 9536,5382376538,XXL,Neckermann Vörö,2,3680503543,TransCredit,N,3,0.0
854,DecDec,230011063,1,N,19.0488859,Papp Blanka,117688,1082,M,utazás,57,47.49721,87369,27300,191579,JCB,300000,9792 5300 0386 9536,5382376540,XXL,Neckermann Vörö,2,3680503543,TransCredit,N,3,0.0
2111,Inc,230011013,5,F,19.0488859,Nagy Gábor,928066,1082,NO,utazás,30,47.49721,182281,736604,91121,VISA,850000,0469 8014 6149 5636,5382377797,M,Neckermann Vörö,1,3680359519,Pension,Y,1,0.0
345,Dec,230011045,2,N,19.0488859,Fekete Emma,910699,1082,L,utazás,61,47.49721,73137,118366,232128,VISA,580000,5853 2577 8257 9066,5382376031,M,Neckermann Vörö,2,3680548646,NoTrans,N,1,0.0
512,Stab,230011089,1,N,19.0488859,Nagy Fruzsina,831430,1082,L,utazás,68,47.49721,120825,12242,101114,VISA,110000,0301 3338 9027 2760,5382376198,XS,Neckermann Vörö,2,3680844089,Pension,N,2,0.0
1899,DecDec,230010939,2,F,19.0488859,Orosz Richárd,218197,1082,NO,utazás,75,47.49721,249463,286027,303660,MASTERCARD,150000,0681 4468 0574 4693,5382377585,S,Neckermann Vörö,1,3680578226,CreditAct,Y,0,0.0
1818,IncInc,230011079,1,F,19.0488859,Váradi Botond,320992,1082,XL,utazás,35,47.49721,110250,79485,188886,MAESTRO,570000,9666 5942 0933 3665,5382377504,XXL,Neckermann Vörö,1,3680580145,Young,Y,2,0.0
529,DecDec,230010981,1,F,19.0488859,Szalai Csongor,198222,1082,NO,utazás,27,47.49721,119719,210161,172319,DINERS,810000,9330 5691 3616 0807,5382376215,M,Neckermann Vörö,2,3680789380,Pension,Y,1,0.0
1354,Stab,230010883,3,F,19.0488859,Váradi Benett,939653,1082,NO,utazás,64,47.49721,344825,551084,300556,MASTERCARD,280000,4591 1510 6111 0666,5382377040,L,Neckermann Vörö,3,3680164600,Pension,N,1,0.0
1168,DecDec,230010823,2,F,19.0488859,Halász Gábor,631262,1082,S,utazás,64,47.49721,324508,354417,244908,AMEX,1160000,2295 7049 2043 7972,5382376854,M,Neckermann Vörö,2,3680820585,CreditAct,N,1,0.0
1227,Dec,230011071,5,N,19.0488859,Takács Dorottya,801228,1082,M,utazás,66,47.49721,88347,213827,46654,VISA,710000,3261 7500 7925 1463,5382376913,M,Neckermann Vörö,2,3680318386,TransCredit,Y,2,0.0
888,DecDec,230010968,5,F,19.0488859,Szilágyi Ferenc,205487,1082,XS,utazás,69,47.49721,201486,217661,137108,VISA,170000,3220 1725 9299 2324,5382376574,XXL,Neckermann Vörö,1,3680813259,CreditAct,Y,1,0.0
989,IncInc,230010733,2,N,19.0488859,Molnár Zsófia,410006,1082,XS,utazás,21,47.49721,212370,431152,314003,JCB,960000,1615 3279 0259 2970,5382376675,M,Neckermann Vörö,1,3680563026,Pension,Y,0,0.0
1022,Dec,230011074,4,F,19.0488859,Deák Soma,971378,1082,XL,utazás,25,47.49721,299858,58477,110517,AMEX,360000,0406 5046 1246 4459,5382376708,XXL,Neckermann Vörö,2,3680313401,TransCredit,Y,2,0.0
1375,Inact,230010878,5,F,19.0488859,Jónás Balázs,919452,1082,S,utazás,32,47.49721,85594,660914,281405,AMEX,980000,7298 0005 3121 1312,5382377061,M,Neckermann Vörö,3,3680559683,Pension,Y,0,0.0
1439,IncInc,230010742,2,F,19.0488859,Váradi István,402006,1082,NO,utazás,69,47.49721,302268,278690,269935,MASTERCARD,980000,3883 7792 3703 5066,5382377125,S,Neckermann Vörö,2,3680188467,NoTrans,N,1,0.0
2093,Inc,230011020,3,N,19.0488859,Szilágyi Flóra,645391,1082,XS,utazás,18,47.49721,245209,591042,67005,MAESTRO,220000,0231 6668 3569 5132,5382377779,XL,Neckermann Vörö,2,3680354003,NoTrans,Y,0,0.0
1019,IncInc,230010987,3,F,19.0488859,Vass Zétény,67785,1082,XS,utazás,50,47.49721,292890,715704,27894,VISA,130000,1140 5456 3793 4036,5382376705,XXL,Neckermann Vörö,1,3680791135,CreditAct,N,1,0.0
192,Stab,230010859,4,N,19.0488859,Fazekas Tímea,958462,1082,XS,utazás,57,47.49721,318209,750107,31582,VISA,190000,2348 1229 0533 3196,5382375878,L,Neckermann Vörö,3,3680738720,Pension,N,1,0.0
698,Inact,230010762,1,N,19.0488859,Faragó Zoé,262330,1082,S,utazás,53,47.49721,55129,332718,110139,AMEX,310000,3595 3093 0028 0254,5382376384,XXL,Neckermann Vörö,2,3680775045,Pension,Y,1,0.0
1208,Inact,230010762,1,N,19.0488859,Faragó Zoé,262330,1082,S,utazás,53,47.49721,348344,332718,110139,AMEX,310000,3595 3093 0028 0254,5382376894,XXL,Neckermann Vörö,2,3680775045,Pension,Y,1,0.0
426,Inact,230011048,5,F,19.0488859,Hajdu Vilmos,928247,1082,L,utazás,35,47.49721,53760,174213,122792,MAESTRO,820000,2743 3055 1577 3258,5382376112,XS,Neckermann Vörö,3,3680845545,NoTrans,N,2,0.0
73,Inc,230011021,1,F,19.0488859,Nagy Balázs,644353,1082,S,utazás,73,47.49721,121740,264354,117770,AMEX,850000,1778 3425 5474 0907,5382375759,S,Neckermann Vörö,3,3680397420,NoTrans,N,1,0.0
74,Inc,230011021,1,F,19.0488859,Nagy Balázs,644353,1082,S,utazás,73,47.49721,188954,264354,117770,AMEX,850000,1778 3425 5474 0907,5382375760,S,Neckermann Vörö,3,3680397420,NoTrans,N,1,0.0
2312,Inact,230011016,3,N,19.0488859,Major Natália,786541,1082,NO,utazás,64,47.49721,216253,500750,191247,DINERS,460000,3407 9321 4441 0958,5382377998,L,Neckermann Vörö,2,3680389771,CreditAct,N,1,0.0
1609,Inact,230011016,3,N,19.0488859,Major Natália,786541,1082,NO,utazás,64,47.49721,54923,500750,191247,DINERS,460000,3407 9321 4441 0958,5382377295,L,Neckermann Vörö,2,3680389771,CreditAct,N,1,0.0
1767,Inact,230010905,5,N,19.0488859,Fábián Kinga,99755,1082,NO,utazás,75,47.49721,293103,158989,75576,JCB,110000,5624 9542 5359 2510,5382377453,XXL,Neckermann Vörö,3,3680536502,NoTrans,Y,0,0.0
749,Inc,230010787,5,N,19.0488859,Szekeres Mira,620225,1082,S,utazás,32,47.49721,148268,492373,19532,MASTERCARD,820000,7383 3644 1248 4331,5382376435,XL,Neckermann Vörö,2,3680740817,Pension,N,1,0.0
632,DecDec,230011006,1,F,19.0488859,László Róbert,51034,1082,S,utazás,47,47.49721,123392,577372,108933,DINERS,760000,4830 6412 1588 9786,5382376318,XXL,Neckermann Vörö,1,3680119962,Pension,Y,0,0.0
1881,Inc,230010799,1,F,19.0488859,Szilágyi Csanád,207649,1082,S,utazás,71,47.49721,288486,467163,215698,VISA,1030000,5483 1349 8534 2175,5382377567,S,Neckermann Vörö,2,3680454955,NoTrans,N,0,0.0
359,Stab,230011069,2,N,19.0488859,Tóth Liza,462772,1082,L,utazás,34,47.49721,133326,148157,235666,DINERS,1170000,0761 1654 0789 0328,5382376045,XS,Neckermann Vörö,1,3680603651,Young,N,3,0.0
360,Stab,230011069,2,N,19.0488859,Tóth Liza,462772,1082,L,utazás,34,47.49721,343975,148157,235666,DINERS,1170000,0761 1654 0789 0328,5382376046,XS,Neckermann Vörö,1,3680603651,Young,N,3,0.0
2204,Stab,230010898,1,N,19.0488859,Soós Eszter,767982,1082,NO,utazás,39,47.49721,71593,735300,75387,DINERS,740000,3203 8692 3489 2545,5382377890,L,Neckermann Vörö,3,3680776745,TransCredit,N,0,0.0
719,Stab,230010882,5,F,19.0488859,Barta Milán,795959,1082,NO,utazás,23,47.49721,289615,569051,249479,VISA,1160000,0853 4627 1347 5472,5382376405,XL,Neckermann Vörö,3,3680212330,TransCredit,N,1,0.0
1716,IncInc,230011010,5,N,19.0488859,Bogdán Jázmin,611539,1082,NO,utazás,54,47.49721,59947,348426,151035,DINERS,540000,6342 9061 0126 0463,5382377402,XXL,Neckermann Vörö,3,3680330766,Young,N,1,0.0
1721,IncInc,230011010,5,N,19.0488859,Bogdán Jázmin,611539,1082,NO,utazás,54,47.49721,166389,348426,151035,DINERS,540000,6342 9061 0126 0463,5382377407,XXL,Neckermann Vörö,3,3680330766,Young,N,1,0.0
1353,DecDec,230011076,1,F,19.0488859,Virág Botond,793265,1082,L,utazás,38,47.49721,56354,257045,215309,VISA,1050000,6946 8829 7386 4592,5382377039,XS,Neckermann Vörö,1,3680151436,CreditAct,Y,2,0.0
1396,DecDec,230011076,1,F,19.0488859,Virág Botond,793265,1082,L,utazás,38,47.49721,349688,257045,215309,DINERS,1050000,8963 1669 0373 8696,5382377082,XS,Neckermann Vörö,1,3680151436,CreditAct,Y,2,0.0
2215,DecDec,230011035,5,N,19.0488859,László Viktória,967061,1082,M,utazás,41,47.49721,318468,275409,180893,JCB,210000,8046 8943 8073 9211,5382377901,L,Neckermann Vörö,3,3680628172,Pension,N,1,0.0
251,Inc,230011003,1,N,19.0488859,Jakab Emese,54048,1082,NO,utazás,61,47.49721,280777,209954,137514,JCB,360000,5368 4117 2701 0884,5382375937,L,Neckermann Vörö,3,3680389041,CreditAct,Y,1,0.0
1075,Dec,230010959,5,F,19.0488859,Oláh György,180873,1082,XS,utazás,70,47.49721,148763,593203,30323,MAESTRO,1130000,9304 7247 6674 9871,5382376761,S,Neckermann Vörö,3,3680604611,Pension,Y,1,0.0
231,Dec,230010740,4,F,19.0488859,Balla Gergő,543744,1082,XS,utazás,25,47.49721,67472,364013,313644,DINERS,380000,6571 8786 8679 5500,5382375917,L,Neckermann Vörö,3,3680672871,NoTrans,Y,0,0.0
1194,DecDec,230011104,1,F,19.0488859,Dudás Márton,420925,1082,M,utazás,52,47.49721,144302,132940,196184,DINERS,820000,0295 1586 5023 7814,5382376880,L,Neckermann Vörö,1,3680823179,TransCredit,Y,1,1.0
1298,Inc,230011014,2,F,19.0488859,Budai Kristóf,231596,1082,NO,utazás,71,47.49721,280359,169134,285511,JCB,1170000,0275 6629 2314 6539,5382376984,S,Neckermann Vörö,3,3680445688,TransCredit,N,1,0.0
1303,Inc,230011014,2,F,19.0488859,Budai Kristóf,231596,1082,NO,utazás,71,47.49721,253197,169134,285511,JCB,1170000,0275 6629 2314 6539,5382376989,S,Neckermann Vörö,3,3680445688,TransCredit,N,1,0.0
1059,Stab,230010835,1,F,19.0488859,Pataki Bence,338972,1082,XS,utazás,43,47.49721,146148,366296,274154,MASTERCARD,720000,8222 9991 6613 8944,5382376745,XL,Neckermann Vörö,3,3680410581,Young,N,1,0.0
2098,DecDec,230010794,4,F,19.0488859,Oláh Kristóf,317680,1082,NO,utazás,47,47.49721,75340,179427,69824,JCB,550000,8144 6171 3356 0117,5382377784,S,Neckermann Vörö,2,3680156652,TransCredit,N,0,0.0
1830,IncInc,230010919,1,F,19.0488859,Kis Milán,949427,1082,XS,utazás,48,47.49721,190082,624674,40911,DINERS,1100000,6329 3590 6869 9905,5382377516,XL,Neckermann Vörö,1,3680160491,NoTrans,N,1,0.0
671,Inact,230011100,2,N,19.0488859,Márton Borbála,688463,1082,M,utazás,28,47.49721,222716,184333,266433,MASTERCARD,720000,8059 1784 2673 2673,5382376357,XXL,Neckermann Vörö,3,3680242809,CreditAct,N,1,1.0
1171,Stab,230010976,2,F,19.0488859,Váradi Márk,945838,1082,S,utazás,75,47.49721,323440,716527,111687,DINERS,240000,0209 0293 6710 3844,5382376857,XL,Neckermann Vörö,1,3680641718,TransCredit,N,1,0.0
830,Stab,230010962,3,N,19.0488859,Bakos Izabella,119934,1082,S,utazás,43,47.49721,99775,569074,83199,DINERS,110000,1541 1197 2135 3419,5382376516,S,Neckermann Vörö,1,3680121325,Young,Y,1,0.0
1906,Inc,230010739,2,F,19.0488859,Fodor Hunor,749888,1082,NO,utazás,42,47.49721,87975,545197,240733,VISA,570000,4928 0865 3188 7461,5382377592,M,Neckermann Vörö,1,3680202262,Pension,Y,1,0.0
1316,Inact,230010996,1,F,19.0513418,Bálint Márton,394455,1032,S,egészség,70,47.510766,27073,731653,254158,MASTERCARD,1120000,2871 7229 4142 6115,5382377002,M,Életerő mozgás,3,3680472249,Pension,Y,1,0.0
84,Dec,230010841,2,F,19.0513418,Kocsis Sándor,961840,1032,XS,egészség,47,47.510766,38962,523018,163702,DINERS,870000,7553 5541 3737 2997,5382375770,XS,Életerő mozgás,3,3680362721,Young,N,1,0.0
1606,DecDec,230010969,5,F,19.0513418,Péter Bálint,533982,1032,S,egészség,72,47.510766,37480,572279,215022,MAESTRO,570000,9039 3418 6668 1776,5382377292,S,Életerő mozgás,1,3680161161,NoTrans,Y,0,0.0
2041,Inc,230010786,3,F,19.0513418,Székely Soma,336746,1032,S,egészség,76,47.510766,4175,220812,292842,DINERS,950000,2535 6877 7636 9206,5382377727,M,Életerő mozgás,1,3680554892,CreditAct,N,1,0.0
1191,IncInc,230010995,1,F,19.0513418,Borbély Vince,321466,1032,S,egészség,22,47.510766,12830,278104,160518,VISA,1130000,6969 8044 0342 0955,5382376877,XL,Életerő mozgás,1,3680429023,Young,Y,1,0.0
1772,IncInc,230010995,1,F,19.0513418,Borbély Vince,321466,1032,S,egészség,22,47.510766,15132,278104,160518,DINERS,1130000,1102 5539 2372 5628,5382377458,XL,Életerő mozgás,1,3680429023,Young,Y,1,0.0
1773,IncInc,230010995,1,F,19.0513418,Borbély Vince,321466,1032,S,egészség,22,47.510766,2559,278104,160518,DINERS,1130000,1102 5539 2372 5628,5382377459,XL,Életerő mozgás,1,3680429023,Young,Y,1,0.0
1401,Inact,230010924,4,N,19.0513418,Szalai Lara,426520,1032,NO,egészség,27,47.510766,23034,658556,278604,VISA,980000,8461 0987 0754 4294,5382377087,M,Életerő mozgás,3,3680227097,Pension,Y,1,0.0
1494,Inact,230011067,3,F,19.0513418,Bálint Ádám,707487,1032,XL,egészség,42,47.510766,35154,148432,194143,DINERS,1010000,9929 0783 3602 0808,5382377180,XS,Életerő mozgás,2,3680672314,Young,Y,2,0.0
1496,Inact,230011067,3,F,19.0513418,Bálint Ádám,707487,1032,XL,egészség,42,47.510766,36734,148432,194143,DINERS,1010000,9929 0783 3602 0808,5382377182,XS,Életerő mozgás,2,3680672314,Young,Y,2,1.0
304,Inact,230011067,3,F,19.0513418,Bálint Ádám,707487,1032,XL,egészség,42,47.510766,24198,148432,194143,VISA,1010000,4571 2394 7015 2088,5382375990,XS,Életerő mozgás,2,3680672314,Young,Y,2,0.0
308,Inact,230011067,3,F,19.0513418,Bálint Ádám,707487,1032,XL,egészség,42,47.510766,21524,148432,194143,VISA,1010000,4571 2394 7015 2088,5382375994,XS,Életerő mozgás,2,3680672314,Young,Y,2,0.0
215,Inc,230011103,2,N,19.0513418,Orsós Alíz,299496,1032,M,egészség,20,47.510766,14277,67209,58049,DINERS,380000,9547 0538 0000 9320,5382375901,S,Életerő mozgás,2,3680494786,Pension,Y,2,1.0
1202,DecDec,230010819,5,N,19.0513418,Balla Petra,625113,1032,NO,egészség,31,47.510766,32300,674724,259901,DINERS,530000,3670 9739 9662 1972,5382376888,M,Életerő mozgás,3,3680740682,Young,N,0,0.0
1707,IncInc,230010812,3,F,19.0513418,Fazekas Miklós,187375,1032,S,egészség,74,47.510766,7306,335153,42300,DINERS,670000,0083 7641 6358 8880,5382377393,M,Életerő mozgás,3,3680880199,NoTrans,Y,0,0.0
2130,IncInc,230010812,3,F,19.0513418,Fazekas Miklós,187375,1032,S,egészség,74,47.510766,34676,335153,42300,JCB,670000,3126 5766 1655 0063,5382377816,M,Életerő mozgás,3,3680880199,NoTrans,Y,0,0.0
2132,IncInc,230010812,3,F,19.0513418,Fazekas Miklós,187375,1032,S,egészség,74,47.510766,2986,335153,42300,JCB,670000,3126 5766 1655 0063,5382377818,M,Életerő mozgás,3,3680880199,NoTrans,Y,0,0.0
144,DecDec,230011102,4,F,19.0513418,Orbán Áron,363028,1032,L,egészség,75,47.510766,2461,61287,200640,MASTERCARD,580000,4102 4615 9050 0243,5382375830,L,Életerő mozgás,2,3680600103,TransCredit,N,3,0.0
968,Stab,230011009,4,N,19.0513418,Simon Abigél,982061,1032,XS,egészség,43,47.510766,31969,758028,64248,MASTERCARD,820000,0130 8405 1665 5304,5382376654,S,Életerő mozgás,1,3680488001,NoTrans,N,0,0.0
461,IncInc,230010923,1,F,19.0513418,Mezei Milán,569517,1032,S,egészség,71,47.510766,20943,461207,123851,JCB,570000,4386 4453 4553 8304,5382376147,XL,Életerő mozgás,1,3680212374,TransCredit,N,0,0.0
1795,Stab,230010990,5,F,19.0513418,Kiss Bálint,799170,1032,XS,egészség,24,47.510766,38998,651875,83755,JCB,560000,6302 0544 3691 1873,5382377481,L,Életerő mozgás,3,3680871635,TransCredit,N,1,0.0
2230,Inact,230010767,3,F,19.0513418,Tóth Martin,947192,1032,XS,egészség,72,47.510766,25286,665283,69388,JCB,490000,5751 2333 3275 6270,5382377916,XXL,Életerő mozgás,3,3680779528,CreditAct,Y,1,0.0
94,IncInc,230010929,4,F,19.0513418,Virág Vilmos,115501,1032,NO,egészség,37,47.510766,23663,255171,46101,AMEX,230000,5962 6104 1640 1013,5382375780,S,Életerő mozgás,1,3680494802,Young,N,0,0.0
1691,DecDec,230010895,4,N,19.0513418,Borbély Adél,1008454,1032,XS,egészség,47,47.510766,8538,597727,319677,JCB,370000,6346 0340 0363 4839,5382377377,S,Életerő mozgás,1,3680458235,TransCredit,Y,0,0.0
1126,Inact,230010722,3,F,19.0513418,Somogyi Zalán,834673,1032,S,egészség,46,47.510766,21239,624991,40770,VISA,720000,2649 8710 6398 0820,5382376812,XXL,Életerő mozgás,3,3680202941,TransCredit,Y,0,0.0
1134,Inact,230010722,3,F,19.0513418,Somogyi Zalán,834673,1032,S,egészség,46,47.510766,15182,624991,40770,VISA,720000,2649 8710 6398 0820,5382376820,XXL,Életerő mozgás,3,3680202941,TransCredit,Y,0,0.0
235,Inc,230011025,1,F,19.0513418,Nemes Kevin,132477,1032,S,egészség,18,47.510766,30177,259119,59143,JCB,110000,6094 0897 9183 9146,5382375921,S,Életerő mozgás,3,3680447005,Young,N,0,0.0
1660,Inc,230011025,1,F,19.0513418,Nemes Kevin,132477,1032,S,egészség,18,47.510766,39968,259119,59143,VISA,110000,8872 4443 9500 7742,5382377346,S,Életerő mozgás,3,3680447005,Young,N,0,0.0
791,Inact,230010993,3,N,19.0513418,Borbély Léna,973234,1032,S,egészség,50,47.510766,8467,590503,116192,DINERS,1110000,7776 3572 9229 0477,5382376477,S,Életerő mozgás,1,3680110396,TransCredit,Y,0,0.0
1307,IncInc,230010922,1,N,19.0513418,Pataki Réka,212571,1032,XS,egészség,20,47.510766,39500,596467,199222,VISA,460000,0070 7322 4491 8490,5382376993,L,Életerő mozgás,3,3680467424,Young,N,0,0.0
555,Stab,230011019,2,N,19.0513418,Hajdu Jázmin,314563,1032,XS,egészség,30,47.510766,12160,718239,260613,MAESTRO,870000,6509 7565 8598 2707,5382376241,S,Életerő mozgás,2,3680523764,CreditAct,N,1,0.0
