"idx";"accountNumber";"accountType";"merchantId";"merchantType";"transactionId";"amount";"currency";"isCardPresent";"transactionTimeStamp";"feature_1"
"502";"5915 1931 7558 8139";"JCB";"1030";"egészség";"5382370161";"28149";"HUF";"True";"1522569687.0";"0"
"2384";"9270 4701 8837 6160";"DINERS";"1030";"egészség";"5382372043";"38236";"HUF";"True";"1522569691.0";"0"
"902";"8292 6518 2914 5051";"MASTERCARD";"1052";"üzemanyag";"5382370561";"17090";"HUF";"True";"1522569822.0";"0"
"1482";"7298 5617 2208 3140";"VISA";"1031";"egészség";"5382371141";"26380";"HUF";"True";"1522569983.0";"0"
"503";"5915 1931 7558 8139";"JCB";"1072";"könyv";"5382370162";"4705";"HUF";"True";"1522569987.0";"0"
"923";"2617 7925 4678 0917";"DINERS";"1002";"élelmiszer";"5382370582";"18651";"HUF";"True";"1522570075.0";"0"
"903";"8292 6518 2914 5051";"MASTERCARD";"1020";"ruházat";"5382370562";"25259";"HUF";"True";"1522570122.0";"0"
"1483";"7298 5617 2208 3140";"VISA";"1060";"szórakozás";"5382371142";"5397";"HUF";"True";"1522570283.0";"0"
"504";"5915 1931 7558 8139";"JCB";"1001";"élelmiszer";"5382370163";"27228";"HUF";"True";"1522570287.0";"0"
"607";"1336 5132 5243 7423";"MAESTRO";"1002";"élelmiszer";"5382370266";"16963";"HUF";"True";"1522570336.0";"0"
"924";"2617 7925 4678 0917";"DINERS";"1001";"élelmiszer";"5382370583";"7934";"HUF";"True";"1522570375.0";"0"
"904";"8292 6518 2914 5051";"MASTERCARD";"1050";"üzemanyag";"5382370563";"19240";"HUF";"True";"1522570422.0";"0"
"1484";"7298 5617 2208 3140";"VISA";"1071";"könyv";"5382371143";"6613";"HUF";"True";"1522570583.0";"0"
"505";"5915 1931 7558 8139";"JCB";"1052";"üzemanyag";"5382370164";"18493";"HUF";"True";"1522570587.0";"0"
"608";"1336 5132 5243 7423";"MAESTRO";"1020";"ruházat";"5382370267";"19782";"HUF";"True";"1522570636.0";"0"
"925";"2617 7925 4678 0917";"DINERS";"1072";"könyv";"5382370584";"3419";"HUF";"True";"1522570675.0";"0"
"905";"8292 6518 2914 5051";"MASTERCARD";"1020";"ruházat";"5382370564";"7534";"HUF";"True";"1522570722.0";"0"
"36";"6695 7282 5827 8173";"VISA";"1072";"könyv";"5382369695";"2652";"HUF";"True";"1522570729.0";"0"
"627";"5162 6005 3669 5957";"VISA";"1062";"szórakozás";"5382370286";"4269";"HUF";"True";"1522570780.0";"0"
"1485";"7298 5617 2208 3140";"VISA";"1022";"ruházat";"5382371144";"19260";"HUF";"True";"1522570883.0";"0"
"506";"5915 1931 7558 8139";"JCB";"1030";"egészség";"5382370165";"37560";"HUF";"True";"1522570887.0";"0"
"609";"1336 5132 5243 7423";"MAESTRO";"1080";"utazás";"5382370268";"103828";"HUF";"True";"1522570936.0";"0"
